number	category	question
86	Linux+3ещё	Как записать логи выборочно(samba) через rsyslog?
87	React	Как реализовать переключение компонентов по клику на элемент?
88	API	Как правильно прописать формулу к qlik sense в сет анализе?
89	NVIDIA	Видеодрайвер перестал отвечать etc..., после смены термопасты, что делать?
90	Bluetooth+1ещё	Как распределить на несколько ресиверов bluetooth устройства?
91	jQuery+1ещё	Как подкорректировать slick-slider?
92	Django	Как избавиться от экранирования?
93	Электронная цифровая подпись	Как формируется ЭЦП?
94	PowerPoint+1ещё	Windows Media Components on WIndows Server?
95	Искусственный интеллект	Чем разложить фотки по папкам в зависимости от содержимого?
96	CSS+1ещё	Как правильно поставить rel preload согласно google page speed?
97	PHP	Что делать если json свойство начинается с цифры?
98	npm+1ещё	Почему не могу правильно подключить плагин copy webpack?
99	JavaScript	Как вывести элементы массива через стрелочную функцию?
100	1С-Битрикс+1ещё	Почему в оформление заказа URL у товара /catalog/, если все чпу указал верно?
101	Python+1ещё	Какая лучшая оффлайн библиотека распознования речи для Python?
102	Windows+3ещё	Как настроить вывод на печать с машины (Windows по RDP) на локальный принтер в Fedora?
103	JavaScript+1ещё	Как перебрать из массива до тех пор, пока совпадают даты?
104	iOS+2ещё	Нужноли быть зарегистрированным разработчиком iOS для тестирования push уведомлений через firebase?
105	C+++3ещё	Как решить проблему с вводом двумерного массива?
106	Windows+1ещё	Программа для монтирования облачных хранилищ?
107	Видео	Как настроить vlan на aruba HP-2530-48G?
108	Игровые приставки+4ещё	Не рабочий курсор и почему пропал звук на Smart приставке?
109	API+1ещё	Чем спецификация отличается от API?
110	Oracle+1ещё	Как вставить дробь в partition by?
111	PHP	Почему файл не подключаеться через require?
112	Железо+3ещё	Какая разница между OEM Wraith Spire и BOX версиями процесора Ryzen 5 3400g?
113	JavaScript+2ещё	Получение Имени, Фамилии и ID пользователя через VK API — как реализовать?
114	C++	Как запустить PsExec из C++ приложения с отображением окна консоли?
115	PHP+1ещё	Как изменить URL в адресной строке?
116	Python	Как исправить поиск файла?
117	Laravel	Как реализовать отправку данных с ограничением на количество запросов к внешнему сервису — 10 запросов в секунду?
118	PHP	Как в запросе RedBeanPHP поставить или?
119	Microsoft Access	Как сделать сделать select в access, если в названии таблицы два слова?
120	TypeScript	Как использовать интерфейсы в параметрах функции?
121	JavaScript	Как дождаться результата ответа одной функции в другой?
122	PostgreSQL	PostgreSQL создания одного индекса для нескольких колонок одного типа?
123	Python	Как использовать тип переменной key в питоне?
124	WordPress	Почему шорткод ничего не выводит, если строка слишком длинная?
125	Android+3ещё	Quasar, Vue или flutter?
126	Ubuntu	Как в ubuntu обойти конфликт при установке пакета?
127	Unity Game Engine	Как передать проект Unity другой организации или удалить себе с своей организации?
128	CSS+3ещё	Отступ при скролле WordPress?
129	1С-Битрикс+1ещё	Как заполнять поле в CRM-форме Автоматически?
130	Apache+1ещё	Как вызвать содержимое сайта из другой директории?
131	.NET+1ещё	Проблема с Net Framework 3.5 (включая Net 3.0 и 2.0)?
132	Git	Git log за определенный срок, но исключая из него отрезок времени?
133	Платёжные системы	Какую платежную систему использовать для автоматического приема и обработки платежей?
134	PostgreSQL+2ещё	Как подключиться к Postgres у которого нет публичного доступа?
135	JavaScript	Как вытянуть из массива данные по ключу?
136	Python+1ещё	Библиотека для расчитывания химический реакций на Python?
137	Docker	Как настроить права в Docker?
138	Figma	Меняются ли размеры текста и элементов макета для разных разрешений в Figma?
139	Yii	Как прикрепить файл к письму не сохраняя его на диск?
140	Asterisk+3ещё	Не проходит вызов на несколько номеров из группы. В чем может быть проблема?
141	Python	Как и с помощью чего можно записать интернет радио на хостинге?
142	Серверное оборудование	Как обеспечить пожаробезопасность домашней серверной?
143	Skype	Как сейчас скрыться для конкретного контакта из skype?
144	Node.js	Как писать одновременно на cmd.hear и updates.hear?
145	Управление проектами	Какие ресурсы можете порекомендовать?
146	React	Как сделать динамический route для главной страницы?
147	Django+2ещё	Что лучше оригинальная или переведенная документация по django?
148	Карьера	Как найти работу не имея опыта с современным оборудованием и технологиями?
149	WordPress	Как сделать перенаправление на корневую папку в OSPanel?
150	React	React правильный render для такого уровня вложенности?
151	Машинное обучение	Обратное распространение ошибки. Почему такая разница в знаках формулы при одинаковом подходе?
152	PHP+1ещё	Как создать реферальную систему в приложении?
153	Java	Что вернуть если не null в JdbcTemplate?
154	Vue.js	Как создать свой db.json и получить его по API через axios, по реальному адресу, а не localhost?
155	Node.js+1ещё	Каким образом лучше хранить заказ пользователя?
156	Socket.io	Как создать события на tcp socket сервере?
157	jQuery	Как изменить тип сортировки скрипта?
158	Python+1ещё	Как вывести значение в sqlite3?
159	HTTP Cookies+1ещё	Django set cookie?
160	Wi-Fi	Почему выключается wi-fi в ноутбуке после запуска игр?
161	Asterisk+1ещё	Железо для своего сервера?
162	MTA	Какие MTA Вы знаете?
163	Python+2ещё	Проблема в архитектуре бд sqlite, что не так?
164	React+1ещё	Как сохранить ввод с инпута в state?
165	jQuery+2ещё	Как сделать такой слайдер на slick?
166	Firebase	Как воспользоваться устойчивой (persistent) авторизацией Firebase?
167	Python	Как автоматически определять имя пользователя?
168	Windows	Почему не получается форматировать в exfat?
169	MySQL	Какие таблицы игнорировать при репликации MySQL 8+?
170	CSS+1ещё	Как в mmenu урезать длину меню?
171	Java+2ещё	Как конвертировать docx (и некоторые другие текстовые форматы) в pdf в Android Studio Java?
172	Python+2ещё	Как вернуть строку в консоле на предыдущую строку?
173	Mikrotik	В чём причина «блокировки» некоторых сайтов через EOIP?
174	SQL+1ещё	Как востановить .LDF в SQL?
175	HTML+1ещё	FileList не видит файл из поля типом file. Что делать?
176	JavaScript	Как сделать onmouseout для элемента и его детей одновременно?
177	JavaScript	Как исправить таймер отчета от времени?
178	JavaScript	Пробуждения экрана смартфона при помощи JS возможно?
179	React	React Ant Design — как правильно разбить Layout? И как можно реализовать Routing с разным Layout?
180	WordPress	Как переделать поиск, что бы искал не только по первому слову?
181	JavaScript+1ещё	Не переключаются слайды в карусели, не могу разобраться вроде все корректно написано, кто сможет помочь?
182	MySQL	Mysql как удалить по ключевому слову?
183	PostgreSQL+1ещё	SQL-запрос на получение похожих данных из двух таблиц?
184	PHP	Как сравнение массивов и записать разницу?
185	OpenStreetMap+2ещё	Можно ли сделать картографический сервис с SVG файлом более 20 мб?
186	YouTube+3ещё	Как сделать бота который скачивает музыку с youtube?
187	WordPress	Как в wordpress одновременно изменить текст у кнопки, если добавлял шаблоны вручную?
188	Django	Как в админке делать неограниченое добавление изображений?
189	Python+1ещё	Как сделать HorizontalHeader прозрачным в таблице pyqt?
190	PHP	Как узнать день недели?
191	Python	Как в Python открыть ссылку скрыто?
192	Android+2ещё	Есть ли сервисы или проги, которые синхронизируют локальную папку на компе и локальную папку на Андроиде?
193	Less+2ещё	Как в koala можно компилировать файлы, добавляя новые изменения, но не обновляя полностью файл? И есть ли такая возможность в галпе?
194	Yii	Почему не удается зарегистрироваться при создании нового проекта на yii2?
195	Видеонаблюдение	Как подружить камеру с видеорегистратором?
196	Node.js+2ещё	Как убрать ссылку?
197	Django	НЕ получается создать домашнюю страницу. Что делаю не так?
198	Рынок доменных имен+1ещё	Софт для массовой проверки доменов на занятость?
199	Python+2ещё	Как оптимизировать оперативную память?
200	Windows	Как добиться работы автокоррекции текста в Win 10?
201	JavaScript	Почему не работает функция?
202	C++	Почему выскакивает nan ind при разложении ряда Фурье?
203	Unity Game Engine	Не работает Paint Trees в Unity. Как исправить?
204	Telegram	Почему не пересылает сообщение от пользователя aiogram?
205	Системное администрирование+1ещё	Как администрируют сайты картинок?
206	Laravel	Как в laravel 5.8 поменять маршрут или сделать дополнительный /login на /admin?
207	Selenium+1ещё	Как запустить selenium из python-flask приложения?
208	Макросы+2ещё	Как собрать все значения, удовлетворяющие указанным условиям?
209	C	Как исправить странные ошибки Си-кода?
210	Node.js+2ещё	Использование команды пользователем раз в определенное время, как сделать?
211	Windows+1ещё	Отсутствие драйверов для Win 10?
212	Распознавание текста	Есть ли нормальные библиотеки для распознования простых символов?
213	CSS+1ещё	Как верстать под печать?
214	CSS	Как изменить текст формы подписки через CSS?
215	Python	Как удалять значения из списка по индексу?
216	MODX	Как сделать админку MODX на двух языках?
217	JavaScript+3ещё	Как сделать стрелочки кнопки при наведении на кнопку?
218	Компьютерные сети+1ещё	Как правильно собирать датаграмму?
219	MacBook	MacBook Pro 16 Резинка под дисплеем Брак?
220	PayPal+1ещё	Использование 1 paypal аккаунта на разных сайтах?
221	Авторское право	Как на сайте верно cформулировать «Все права защищены» для самозанятого?
222	API	Есть ли у asurso.ru открытое API?
223	Python	Как получить данные страницы после перенаправления?
224	Защита от взлома	Существуют ли приложения для кодов двухфакторки на PC?
225	PHP	Как подключить php файл?
226	Java+1ещё	Реализовал RecyclerView, но дела до метода onCreateViewHolder даже не доходит! Какая может быть причина этому?
227	PHP	Почему не работает require?
228	SQL	Как LEFT JOIN-ом присобачить только одну сроку, причем не любую, а наибольшую по данному полю?
229	Arduino	Как подключить TFT shield к BluePill?
230	Техническая поддержка	В какой программе можно объединить и контролировать такие структуры как техническую поддержку, сервисный центр, проектный отдел?
231	Safari+2ещё	Почему некорректно отображается swiper-слайдер на iphone?
232	C++	В чем ошибка Convert?
233	Android+1ещё	Разблокировка загрузчика Honor?
234	Microsoft Office	Две версии office одновременно?
235	Android	Как в webview загрузить внешние url без отображения?
236	C#+1ещё	Как решить проблему с прохождением объектов сквозь друг друга?
237	JavaScript+1ещё	Как остановить озвучивание текста SpeechSynthesisUtterance при переходе на другую страницу?
238	PostgreSQL+1ещё	Как присвоить значения из рекурсивной выборки в PostgreSQL?
239	JavaScript+1ещё	Как получить доступ только к одному элементу?
240	React Native+1ещё	Можно ли на React Native / Flutter реализовать call overlay?
241	Vue.js	Как мне установить vue-2-breadcrumbs?
242	Node.js+2ещё	Как выдать роль в боте discord.js?
243	JavaScript+1ещё	Как с помощью JQUERY редиректить по размеру экрана?
244	Макеты и прототипы+1ещё	Где можно найти готовые html блоки по типу Wireframe?
245	CSS+1ещё	Как сделать карточки товара одинаковыми по высоте?
246	Gradle+1ещё	Как устранить ошибку в Android Studio Gradle?
247	uWSGI	Как избежать отключения воркеров uWSGI?
248	JavaScript	Как добраться до вложенного элемента в массиве?
249	PhpStorm	Как изменить количество отступов?
250	IDA	Как получить цепочку байтов в IDA, чтобы отключить whitelist bios?
251	Git	Как сделать так чтобы гит видел изменения после ребейза?
252	WordPress	Некорректно работает поиск Wordpress?
253	Python+2ещё	Возможно получить id роли или роль с упоминания ее в discord.py?
254	Слайдер+2ещё	Как отключить авто-слайдер в Carousel Bootstrap на React?
255	Flexbox+1ещё	Как сделать такой бокс (как в примере) с GRID или Flexbox?
256	OpenCart	Как реализовать dev версию сайта на поддомене (Opencart 3.x)?
257	Unity Game Engine	Как заменить карты в ассете FPSME?
258	Python+1ещё	Как получить (определить) последнюю заполненную ячейку в excel в виде переменой?
259	Ubuntu	Как отключить постоянную автозагрузку Microsoft Teams в Ubuntu?
260	Система доменных имен	Отправляю сообщение на свою почту в yahoo. Сообщение приходит а назад отправить не могу: No mx record found for domain=halje.com?
261	Linux+3ещё	Как максимально правильно написать сервис systemd с iptables?
262	Оперативная память+1ещё	Можно ли ставить оперативную память от старого ноутбука т.е извлечь из старого самсунга и ставить на на iMac?
263	Node.js	Что делать: Ошибка при обработке команды в боте vk, node js?
264	CSS	Как скрыть стиль при вход с телефона?
265	Геометрия+2ещё	Найти третью точку правильного треугольника?
266	WordPress	Как удалить неактуальные публикации на wordpress?
267	C#+1ещё	Как добавить в Windows Forms такой список как на картинке?
268	Symfony+1ещё	Как использовать Google reCaptcha checkBox в Symfony 4?
269	C#	Как перемешать число в коллекции?
270	JavaScript+1ещё	JavaScript для адаптивной вёрстки это нормально или как заменить на CSS?
271	Python	Python, как сделать игровой бонус?
272	Python+1ещё	Как решается эта задача из ЕГЭ по информатике?
273	WPF	Задать текст вместо картинки в MenuItem?
274	Python+1ещё	Как сделать запись значений в базу данных PostgreSQL?
275	Python	Что использовать для автоматизации?
276	C+1ещё	Почему в массив размером N можно положить больше чем N элементов?
277	WhatsApp	Как сделать автоматическое копирование адреса объявления в текст сообщения?
278	htaccess	Как исключить через .htaccess одну директорию из условия {REQUEST_FILENAME} !-d?
279	React+1ещё	Как перевести класс в функциональный компонент?
280	C+++1ещё	Как отслеживать габариты меша?
281	OpenCart	OcStore 3.0.2.0 после установки SEO PRO вместо категории и товаров отображается страница с 403 ошибкой. Как исправить?
282	C++	Почему префиксный инкремент в логическом выражении не прибавляет единицу после вычисления?
283	Windows	Почему не могу открыть стандартные программы?
284	PhpStorm	Почему после сохранения файла, код из phpstorm исчезает?
285	IT-образование	Какой пройти курс С++?
286	JavaScript	2 скрипта не работают вместе?
287	Go	Как запустить программу как демон в Go?
288	JavaScript	Почему значения в переменных js отличаются?
289	PHP	Как сделать редирект для незарегистрированных?
290	React Native	Как сделать иконку приложения круглой (Expo)?
291	Node.js+1ещё	Как установить node-sass через yarn?
292	Интерфейс пользователя+1ещё	Как плавно стереть градиент в илюстраторе?
293	CSS+2ещё	Как в кнопке располагать иконку рядом с текстом?
294	Angular	Как сделать правильный роутинг?
295	JavaScript	Как определить город посетителя?
296	CSS+3ещё	Как в Bootstrap увеличить margin/padding?
297	HTML+1ещё	Как исправить linked image cannot be displayed в Outlook?
298	Python+1ещё	Получил JSON ответ и как из него вытащить нужные мне данные?
299	JavaScript+1ещё	Можно ли проверять подписался ли человек на канал в инстаграме?
300	Linux+1ещё	Как убрать сообщение File Descriptors в Nexus Repository Manager?
301	Электронная коммерция	Какой платежный агрегатор позволяет выводить деньги на электронный кошелек?
302	Unity Game Engine	Как исправить мерцание фона в юнити?
303	MongoDB+1ещё	Какой GuidRepresentation писать?
304	Юриспруденция в IT	Возможно ли физ лицу принимать оплату через сторонние сервисы?
305	Проектирование баз данных	Как реализовать возможность смены никнейма на сайте?
306	Поисковая оптимизация	Что происходит после склейки сайта?
307	Тестирование ПО+1ещё	На какую зарплату может рассчитывать Junior QA в Москве?
308	PHP+2ещё	Почему падает контейнер php-fpm при запуске супервизора?
309	Hyper-V+1ещё	Как установить Hyper-V на Windows Server Core?
310	CSS+1ещё	Для чего нужен SVG?
311	1С-Битрикс	Bitrix передаю в фильтре массив ID но на выходе компанента другая сортировка — почему?
312	Ноутбуки	Нужен ли macbook програмисту?
313	Python+1ещё	Как передать значение переменных js в python(eel)?
314	Python	Как убрать зеленую точку в середине екрана?
315	Assembler	Убрать указание размера функции?
316	WordPress	Как в ссылкке на запись отображать только основную категорию?
317	fancyBox+1ещё	Owl carousel + fancybox 3.5.6 в мобильной версии срабатывает через раз?
318	JavaScript+3ещё	Как реализовать плавный постраничный скролл?
319	API	Возможно ли спрасить данные с TikTok?
320	MacBook	Поцарапал экран, что делать?
321	Python+3ещё	Как используя raspberry pi найти подключенные к wifi устройства?
322	MongoDB+2ещё	Как запушить в массив модели объект, только если его там нет?
323	JavaScript	Как сделать лестницу из символов в JavaScript?
324	Python+1ещё	Как при запуске Телеграм Бота запросить код?
325	WooСommerce	Пропали категории после локализации woocomerce?
326	WordPress	Ошибка 404 на страницу записей, категорий и меток. Как исправить?
327	PDF	Как сделать PDF из HTML используя jsPDF?
328	JavaScript+1ещё	Можно ли открыть страницу сайта на сервере ubuntu?
329	Железо+3ещё	Возможно ли подключение 3 мониторов к nvidia GTX 530?
330	Python+2ещё	Странные -equests и -quests. Как их удалить?
331	C++	В чем проблема?
332	HTML+1ещё	Почему перечеркивается указанные свойства при адаптации?
333	JavaScript+1ещё	Проверка столкновение с объектам(walls)?
334	Поисковая оптимизация	Нет посещаемости в Гугле?
335	PostgreSQL+1ещё	Join по null или есть что получше?
336	JavaScript+1ещё	Как в gulp выбрать только определённый файл из каталога?
337	JavaScript+1ещё	Как защитить от скачивания калькулятор расчета стоимости постройки бассейна на сайте?
338	Python	Что делать если в проекте версии библиотек не совпадают?
339	JavaScript	Как правильно отфильтровать массив?
340	PHP	Есть html файл и php файл. Можете ли вы помочь их соединить и проверить чтобы скрипт работал?
341	Python+1ещё	Выбор БД для записи на прием к врачу?
342	IT-образование+1ещё	С чего нужно начать изучать программирование нейронных сетей в 2020 году?
343	C#+1ещё	C#. Как правильно сделать группировку из List в Dictionary?
344	iOS+3ещё	Почему пуш уведомления приходят только если подключен провод от Мака?
345	Python	Почему при создании таблицы excel через pandas значения перезаписываются?
346	Unity Game Engine	Почему персонаж прыгает все время на разную высоту?
347	WordPress	Как вывести свежие записи в WordPress минусовав определенное количество записей из цикла?
348	OpenGL+1ещё	Roll поворот камеры OpenGL?
349	Карьера+1ещё	Нормально ли такое тестовое задание?
350	PHP	Заменить значение массива?
351	JavaScript+1ещё	Как, нажав на кнопку, проскроллить вниз до определённого блока?
352	Linux+2ещё	Как избавиться от артефактов графики в Chromium на linux Mint?
353	Laravel	Как преобразовать неудобный json?
354	WordPress	Редактор в интернете для сайта Вордпресс какой есть?
355	Unity Game Engine	Как Unity разработчика могут работать удалено над одним проектом?
356	Windows+2ещё	Как заставить старое железо ноутбука проигрывать видео без тормозов?
357	WordPress	Как вставить переменную в выражение do shortcode wordpress?
358	Skype+2ещё	Возможно ли скрыть программу от демонстрации экрана?
359	PHP	Как вернуть только ключи после array_filter?
360	Компьютерные сети+3ещё	Возможно ли разделить исходящий трафик в микротик на основе интерфейса-источника?
361	Last.fm	Распознать названия отдельных треков в миксах?
362	PHP+1ещё	Как вывести записи которые не были выведены на это странице?
363	HTML+1ещё	Экспорт из After Effects в HTML?
364	Python+1ещё	Как попасть на интервью или как найти работу Python junior/intern разработчиком?
365	PHP+1ещё	Исполнение скрипта php с аутентификацией в cron?
366	CSS+1ещё	Почему подчёркивает свойство float?
367	Поисковая оптимизация+1ещё	Как перенести SEO? ( WordPress )?
368	Laravel	Как правильно составить запрос в laravel?
369	Google Chrome	Бан за Chrome headless, почему?
370	Python	Как убрать крякозябры в python под Windows и Ubuntu?
371	VPN+1ещё	Как в linux использовать tor в качестве vpn?
372	Unity Game Engine	Как отключить/включить дочерний элемент?
373	Вёрстка+2ещё	Когда убираю блок?
374	HTML+1ещё	Почему у меня на отзывах флампах застревает прокрутка страницы?
375	CSV+2ещё	Магазин на WordPress + woocommerce, при попытке загрузки товаров CSV нет картинки товара, в чем может быть проблема?
376	React	Как сайту на React передать строку с компонентом с сервера?
377	JavaScript	Вызов функции внутри другой функции?
378	MacBook	Какой macbook выбрать: 15.4 2017 года, 13.3 2019 или 13.3 2020?
379	JavaScript	Как добавить в массив значения через for?
380	PHP	Как сделать распознавалку текста?
381	PHP	Как перебрать два массива?
382	Нейронные сети+2ещё	Как в нейронную сеть подать картинку, которую сама же сеть сгенерировала в первый раз?
383	Google	Кому нас сливают?
384	Веб-разработка	Одновременная покупка товара?
385	HTML+1ещё	Есть ли аналог object-fit: cover для десктопного Outlook?
386	Python+1ещё	Почему datetime.timestamp отнимает разницу моего часового пояса?
387	PHP+3ещё	PhpStorm, как определить своё значение свойства?
388	jQuery	Как прописать условие для заполнения всех обязательных полей в форме?
389	Python+2ещё	Как спарсить данные формирующиеся скриптом?
390	CSS+3ещё	Не отображаются шрифты HTML верстке +CSS, после переустановки Windows10 что делать?
391	Макеты и прототипы	Программа для создания 3D макета-прототипа техники?
392	1С-Битрикс	Как установить цену по умолчанию?
393	Gmail+1ещё	Как передать аватарку в электронной почте?
394	Python+2ещё	Хероку Телеграм бот время?
395	PHP+2ещё	Учу JavaScript, дальше — Vue.js, среднее знание PHP. На чем сделать CRUD-систему?
396	Django	Как добавить поле видео в объект вопроса «несколько из списка» на Django?
397	JavaScript+2ещё	Регулярка. Вместо пробела/ентера обрезает слово на некоторых телефонах, в чём проблема?
398	WooСommerce	Как сохранить данные пользователя woocommerce?
399	CSS+1ещё	Как создать подобную закладку?
400	Symfony+1ещё	Как прикрутить reCaptcha в Symfony 4.4?
401	MongoDB+1ещё	Как реализовать функцию связи в mongodb?
402	Windows	ПК зависает раз в сутки — в чем причина?
403	Android	Почему первый Fragment в Tablayout прогружается только после нажатия на 3-ю и далее вкладки?
404	CSS+1ещё	Как запустить страницу с середины?
405	JavaScript	Как исправить ошибку при работе с fetch конструкцией?
406	PHP	Как определить бота яндекс?
407	Python	Что лучше учить starlette или fast_api?
408	HTTP Cookies+2ещё	Нужно ли хранить согласие на обработку cookies?
409	C#+1ещё	Как поворачивать персонажа, когда он поднимается в горку?
410	1С-Битрикс	Какое назначение каталога b24_files?
411	ASP.NET+2ещё	Веб-сервис на ASP.NET и его админка (виндовое приложение) — это два разных приложения, или можно уместить в одно?
412	PHP+1ещё	Метод, который возвращает тип интерфейса. Как это вообще работает?
